TP.0241-GEW:Genehmigung:12,0:MON:05.01.2009:30.12.2009
TP.0241-GEW:Ausführung:12,0:MON:04.01.2010:30.12.2010
TP.0241-EIN:Einnahmen:72,0:MON:03.01.2005:30.12.2010
TP.0242-GEW:Planung/Grunderwerb:30,0:MON:30.12.2004:29.06.2007
TP.0242-GEW:Genehmigung:18,0:MON:02.07.2007:29.12.2008
TP.0242-GEW:Ausführung:12,0:MON:30.12.2008:29.12.2009
TP.0242-EIN:Einnahmen:48,0:MON:02.01.2006:30.12.2009
TP.0243-GEW:Planung/Grunderwerb:12,0:MON:03.01.2005:02.01.2006
TP.0243-GEW:Genehmigung:0,0:MON:02.01.2006:02.01.2006
TP.0243-GEW:Ausführung:0,0:MON:02.01.2006:02.01.2006
TP.0246-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0246-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0246-TSP:Ausführung:24,0:MON:03.01.2005:02.01.2007
TP.0249-GEW:Planung/Grunderwerb:0,0:MON:29.12.2004:29.12.2004
TP.0249-GEW:Genehmigung:0,0:MON:29.12.2004:29.12.2004
TP.0249-GEW:Ausführung:0,0:MON:29.12.2004:29.12.2004
TP.0249-GEW:Planung/Grunderwerb:12,0:MON:28.12.2004:27.12.2005
TP.0249-GEW:Genehmigung:12,0:MON:28.12.2005:27.12.2006
TP.0249-GEW:Ausführung:18,0:MON:28.12.2006:27.06.2008
TP.0249-EIN:Einnahmen:30,0:MON:28.12.2005:27.06.2008
TP.0249-EIN:Einnahmen:0,0:MON:28.12.2005:28.12.2005
TP.0250-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0250-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0250-TSP:Ausführung:72,0:MON:03.01.2005:30.12.2010
TP.0254-BAU:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0254-BAU:Genehmigung:0,0:MON:03.01.2005:03.01.2005
